,Unnamed: 0.1,Unnamed: 0,Unnamed,Unnamed: 2,0,Unnamed.37,Unnamed.38,Unnamed: 6,2,0.4,Unnamed.19,Unnamed.20,Unnamed.39,Unnamed: 12,6,2.3,0.3,Unnamed.2,Unnamed.21,Unnamed.40,Unnamed: 19,11,5,1,Unnamed.3,Unnamed.22,Unnamed.41,Unnamed: 26,16,8,2.2,Unnamed.4,Unnamed.23,Unnamed.42,Unnamed: 33,21,11.3,3,Unnamed.5,Unnamed.24,Unnamed.43,Unnamed: 40,26,14,4,Unnamed.6,Unnamed.25,Unnamed.44,Unnamed: 47,31,17,5.2,Unnamed.7,Unnamed.26,Unnamed.45,Unnamed: 54,36,20,6.2,Unnamed.8,Unnamed.27,Unnamed.46,Unnamed: 61,41,23,7,Unnamed.9,Unnamed.28,Unnamed.47,Unnamed: 68,46,26.2,8.2,Unnamed.10,Unnamed.29,Unnamed.48,Unnamed: 75,51,29,9,Unnamed.11,Unnamed.30,Unnamed.49,Unnamed: 82,56,32,10,Unnamed.12,Unnamed.31,Unnamed.50,Unnamed: 89,61,35,11.2,Unnamed.13,Unnamed.32,Unnamed.51,Unnamed: 96,66,38,12,Unnamed.14,Unnamed.33,Unnamed.52,Unnamed: 103,71,41.1,13,Unnamed.15,Unnamed.34,Unnamed.53,Unnamed: 110,76,44,14.2,Unnamed.16,Unnamed.35,Unnamed.54,Unnamed: 117,81,47,15,Unnamed.17,Unnamed.1,Unnamed.18,Unnamed.36,Unnamed.55,Unnamed: 126,88,52,18,1.2,0.2,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,16.1,17.1,18.1,19,20.1,21.1,22,23.1,24,25,26.1
0,0,0,0,0,0,0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Formula,Measurement,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,2,2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,2,2,3,3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,4,4,1,Jez,US,LUM,384,(cps),0,16,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,4,4,6,6,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,5,5,7,7,A,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,6,6,8,8,B,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,7,7,9,9,C,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,8,8,10,10,D,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,9,9,11,11,E,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
